Prescriber Zip Code	Plan Provider ID	Year	Month	Product Family	Rx New	Rx Refill	Rx Total	Tablets New	Tablets Total	Tablets Refill
01106	13670202.00	2010.00	201010.00	NASONEX	2.022	0.00	2.022	34.37	34.37	0.00
01106	13670202.00	2011.00	201102.00	NASONEX	1.051	0.00	1.051	17.87	17.87	0.00
02176	13670202.00	2010.00	201009.00	NASONEX	1.025	0.00	1.025	17.42	17.42	0.00
02215	13670202.00	2010.00	201007.00	NASONEX	1.007	0.00	1.007	17.12	17.12	0.00
02215	13670202.00	2010.00	201012.00	NASONEX	2.079	0.00	2.079	35.35	35.35	0.00
02747	13670202.00	2010.00	201009.00	NASONEX	2.193	0.00	2.193	37.28	37.28	0.00
02747	13670202.00	2010.00	201010.00	NASONEX	1.141	0.00	1.141	19.4	19.4	0.00
02920	13670202.00	2011.00	201101.00	VERAMYST	1.023	0.00	1.023	10.23	10.23	0.00
02920	13670202.00	2011.00	201103.00	NASONEX	0.00	1.029	1.029	0.00	17.49	17.49
04043	13670202.00	2010.00	201009.00	NASONEX	1.175	0.00	1.175	19.97	19.97	0.00
06401	13670202.00	2010.00	201009.00	NASONEX	1.217	0.00	1.217	20.68	20.68	0.00
06401	13670202.00	2010.00	201011.00	NASONEX	2.042	0.00	2.042	34.72	34.72	0.00
06512	13670202.00	2010.00	201011.00	NASONEX	2.292	0.00	2.292	38.95	38.95	0.00
07010	13670202.00	2010.00	201012.00	NASONEX	2.126	0.00	2.126	36.14	36.14	0.00
07024	13670202.00	2010.00	201012.00	NASONEX	1.054	0.00	1.054	17.91	17.91	0.00
07067	13670202.00	2010.00	201010.00	NASONEX	4.297	0.00	4.297	73.04	73.04	0.00
07093	13670202.00	2010.00	201008.00	NASONEX	4.495	0.00	4.495	76.41	76.41	0.00
07306	13670202.00	2010.00	201012.00	NASONEX	5.559	0.00	5.559	94.51	94.51	0.00
07712	13670202.00	2010.00	201009.00	NASONEX	3.324	0.00	3.324	56.51	56.51	0.00
07712	13670202.00	2010.00	201010.00	NASONEX	0.00	1.132	1.132	0.00	19.25	19.25
08505	13670202.00	2010.00	201010.00	NASONEX	1.036	0.00	1.036	17.61	17.61	0.00
08505	13670202.00	2010.00	201011.00	NASONEX	2.14	0.00	2.14	36.38	36.38	0.00
