Market                                  	Brand                                   	Report Period (multiple)                	Creative                                	Commercial Duration                     	advertisement_id	Cable TV-Units	Cable TV-$$$ (000)	Cable TV-GRP: TV Households	Cable TV-IMP(000): TV Households	Cable TV-CPM: TV Households	Cable TV-GRP: P18+	Cable TV-IMP(000): P18+	Cable TV-CPM: P18+	Cable TV-GRP: P21-54	Cable TV-IMP(000): P21-54	Cable TV-CPM: P21-54	Cable TV-GRP: P21-64	Cable TV-IMP(000): P21-64	Cable TV-CPM: P21-64	Network TV-Units	Network TV-$$$ (000)	Network TV-GRP: TV Households	Network TV-IMP(000): TV Households	Network TV-CPM: TV Households	Network TV-GRP: P18+	Network TV-IMP(000): P18+	Network TV-CPM: P18+	Network TV-GRP: P21-54	Network TV-IMP(000): P21-54	Network TV-CPM: P21-54	Network TV-GRP: P21-64	Network TV-IMP(000): P21-64	Network TV-CPM: P21-64	Spanish Language Cable TV-Units	Spanish Language Cable TV-$$$ (000)	Spanish Language Cable TV-GRP: TV Households	Spanish Language Cable TV-IMP(000): TV Households	Spanish Language Cable TV-CPM: TV Households	Spanish Language Cable TV-GRP: P18+	Spanish Language Cable TV-IMP(000): P18+	Spanish Language Cable TV-CPM: P18+	Spanish Language Cable TV-GRP: P21-54	Spanish Language Cable TV-IMP(000): P21-54	Spanish Language Cable TV-CPM: P21-54	Spanish Language Cable TV-GRP: P21-64	Spanish Language Cable TV-IMP(000): P21-64	Spanish Language Cable TV-CPM: P21-64	Spanish Language Network TV-Units	Spanish Language Network TV-$$$ (000)	Spanish Language Network TV-GRP: TV Households	Spanish Language Network TV-IMP(000): TV Households	Spanish Language Network TV-CPM: TV Households	Spanish Language Network TV-GRP: P18+	Spanish Language Network TV-IMP(000): P18+	Spanish Language Network TV-CPM: P18+	Spanish Language Network TV-GRP: P21-54	Spanish Language Network TV-IMP(000): P21-54	Spanish Language Network TV-CPM: P21-54	Spanish Language Network TV-GRP: P21-64	Spanish Language Network TV-IMP(000): P21-64	Spanish Language Network TV-CPM: P21-64	Spot TV-Units	Spot TV-$$$ (000)	Spot TV-GRP: TV Households	Spot TV-IMP(000): TV Households	Spot TV-CPM: TV Households	Spot TV-GRP: P18+	Spot TV-IMP(000): P18+	Spot TV-CPM: P18+	Spot TV-GRP: P21-54	Spot TV-IMP(000): P21-54	Spot TV-CPM: P21-54	Spot TV-GRP: P21-64	Spot TV-IMP(000): P21-64	Spot TV-CPM: P21-64	Syndicated TV-Units	Syndicated TV-$$$ (000)	Syndicated TV-GRP: TV Households	Syndicated TV-IMP(000): TV Households	Syndicated TV-CPM: TV Households	Syndicated TV-GRP: P18+	Syndicated TV-IMP(000): P18+	Syndicated TV-CPM: P18+	Syndicated TV-GRP: P21-54	Syndicated TV-IMP(000): P21-54	Syndicated TV-CPM: P21-54	Syndicated TV-GRP: P21-64	Syndicated TV-IMP(000): P21-64	Syndicated TV-CPM: P21-64	Row No.
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	INCOMPLETE VIDEO	30 seconds	3662987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0.578	0.052	58.476	9.884	0.035	73.567	7.857	0.024	33.024	17.502	0.028	48.634	11.885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	763
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	MAN IN LAB COAT/BOTTLE/BOX/TEXT	15 seconds	3647428	51	30.24	11.308	13108.166	2.307	5.88	13439.798	2.25	5.42	7626.505	3.965	5.833	10293.059	2.938	18	204.55	37.809	43819.816	4.668	22.781	52057.68	3.929	16.013	22513.711	9.086	18.996	33525.492	6.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	71.617	6.796	7562.658	9.47	4.034	8836.145	8.105	2.503	3456.262	20.721	3.152	5371.531	13.333	1	1.065	1.615	1872.09	0.569	0.971	2218.641	0.48	0.75	1054.18	1.01	0.902	1590.936	0.669	764
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	MAN IN LAB COAT/WOMAN/PRODUCT/TEXT	30 seconds	3647424	79	55.589	16.507	19129.301	2.906	8.293	18956.91	2.932	8.016	11274.094	4.931	8.579	15148.24	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	211.253	14.786	16477.738	12.821	9.199	20119.24	10.5	5.447	7550.766	27.978	6.944	11805.374	17.895	1	20.745	2.016	2336.763	8.878	1.039	2373.941	8.739	1.263	1774.977	11.687	1.111	1960.389	10.582	765
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	PRODUCT BOTTLE/CLOUDS/MOUNTAIN/TEXT	15 seconds	3656113	150	34.691	23.974	27788.992	1.248	10.964	25060.889	1.384	10.001	14062.282	2.467	10.399	18352.271	1.89	2	26.95	3.43	3975.456	6.779	2.12	4844.358	5.563	2.111	2967.813	9.081	2.24	3952.271	6.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	35.591	3.367	3749.269	9.493	1.996	4366.795	8.15	1.319	1820.818	19.547	1.642	2790.955	12.752	1	1.299	0.563	652.296	1.991	0.326	744.849	1.744	0.306	430.755	3.016	0.308	543.228	2.391	766
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	WOMAN IN FRONT OF COUNTER/BOTTLE	10 seconds	3647431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	3.358	0.715	798.89	4.203	0.442	957.203	3.508	0.253	349.412	9.61	0.317	537.887	6.243	4	10.45	3.951	4578.55	2.282	2.279	5205.76	2.007	2.625	3689.119	2.833	2.456	4333.633	2.411	767
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/01/11 - 04/02/11 	WOMAN IN FRONT OF COUNTER/BOTTLE	30 seconds	3647433	1	0.173	0.037	42.854	4.037	0.021	49.037	3.528	0.029	40.315	4.291	0.027	48.51	3.566	7	400	23.656	27416.885	14.59	15.179	34683.688	11.533	11.246	15808.181	25.303	13.827	24400.281	16.393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.068	0.005	5.515	12.33	0.003	6.333	10.737	0.004	5.702	11.926	0.004	6.333	10.737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/03/11 - 04/09/11 	2 WOMEN/WOMAN WITH TISSUE/PRODUCT	15 seconds	3662989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.406	2.779	371.092	6.484	1.368	435.279	5.527	1.406	324.805	7.408	1.458	385.433	6.242	63	268.347	184.89	24682.27	10.872	97.547	31028.656	8.648	79.264	18308.693	14.657	86.755	22940.309	11.698	2	0	0.007	8.345	0	0.003	6.722	0	0.004	5.986	0	0.004	5.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/03/11 - 04/09/11 	2 WOMEN/WOMAN WITH TISSUE/PRODUCT	30 seconds	3656111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6.902	4.738	632.541	10.912	2.21	702.915	9.819	2.613	603.607	11.435	2.43	642.565	10.741	29	523.07	158.172	21116.051	24.771	83.998	26717.814	19.578	73.1	16885.48	30.978	76.604	20254.311	25.825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/03/11 - 04/09/11 	BOTTLE ON COUNTER/GRAPHIC TEXT	10 seconds	3647426	16	5.294	3.496	4053.319	1.306	2	4570.725	1.158	2.058	2893.738	1.829	1.974	3482.155	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	21.267	3.383	3768.86	5.643	2.029	4441.02	4.789	1.323	1836.795	11.578	1.642	2801.504	7.591	8	14.86	11.396	13208.171	1.125	5.942	13577.767	1.094	5.284	7426.68	2.001	5.473	9657.983	1.539	771
NATIONAL 	ALLEGRA ALLERGY REMEDY 	04/03/11 - 04/09/11 	FAMILY AT PICNIC/MAN SNEEZES/BASKET	15 seconds	3647422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.672	1.374	183.533	9.11	0.689	219.367	7.622	0.698	161.184	10.373	0.782	206.923	8.08	49	210.346	156.32	20868.006	10.08	81.848	26034.516	8.08	63.484	14663.64	14.345	71.244	18839.717	11.165	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772
