 1.871802   2.034932   2.051573   2.115465   2.884882         0         0         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
  1.84055   1.867536   1.879202    1.89259   1.958973         1         1         1         1         1         0        12        12        12        12        12         0         0         0         0         0  
 1.713798   2.272507   2.321237   2.286806   2.454062         0         0         0         0         0         1        12        12        12        12        12         0         0         0         0         0  
 2.004179   2.062128   2.109393   2.255553   2.314904         1         1         1         1         1         0        14        14        14        14        14         1         1         1         1         1  
 1.870263   2.071837   2.197527    2.17792   2.185333         0         0         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
 1.838961    1.89241   2.151203   2.019725   2.233558         1         1         1         1         1         1        10        10        10        10        10         0         0         0         0         1  
 1.678964   1.344288   1.427419   1.206132   1.575567         0         0         0         1         1         0        12        12        12        12        12         1         1         1         1         1  
  1.83737   1.829796   1.613438   1.716957   1.662579         1         1         1         1         1         0        13        13        13        13        13         1         1         1         1         1  
 1.321756   1.356711    1.62809    2.14718   2.435769         0         0         0         0         0         1        16        17        18        18        18         1         1         1         1         1  
 1.663926   2.080256   1.728346   1.868132   2.133623         0         0         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
 2.474014   2.242415   2.409081   2.013797    2.45255         0         1         1         1         1         1        12        12        12        13        13         1         1         1         1         1  
 1.704748   1.373847   2.136002   2.435382   2.456325         0         0         0         0         0         1        15        15        16        16        16         1         1         1         1         1  
 1.477049   1.790575   1.938245   2.268541    2.27325         0         0         0         0         0         1        12        13        14        15        15         0         1         1         1         1  
 1.558145   1.701963   1.762303     1.9958   2.228839         0         0         1         1         1         0        12        12        12        12        12         1         1         1         1         1  
 .9783261   1.022705   2.785542    .942166   .6592766         0         0         0         0         0         0        14        14        14        14        14         1         0         1         0         0  
 2.484907   2.395983   2.599557   2.173876   2.308809         0         0         0         0         0         1        13        14        14        15        15         1         1         1         1         1  
 1.321756   1.790575   1.658531   2.053429   2.344833         0         0         0         0         0         0        16        16        16        16        16         1         1         1         1         1  
 1.386294   1.105396   1.947535   2.029137   2.470541         0         0         0         0         0         0        15        15        15        15        15         1         1         1         1         1  
 1.536867   1.972897   2.080901   1.984845   2.095443         0         0         0         0         0         1        13        14        14        15        16         1         1         1         1         1  
 2.068128   2.140669   2.091252   2.549518   2.565446         0         0         1         1         1         1        16        16        16        16        16         1         1         1         1         1  
 1.609438   1.923707   1.686359   2.183956   2.133623         0         0         0         0         0         1        12        12        13        13        13         1         1         1         1         1  
 2.215937   2.279401   2.558821    2.65258   2.891732         0         0         0         0         0         0        17        18        18        19        20         1         1         1         1         1  
 1.280934   1.222121   1.479379   1.331295   2.265071         0         0         0         0         0         1         9         9         9         9         9         0         0         0         0         1  
 2.119864   2.077857   2.043205   2.186961    1.91204         0         0         0         0         0         1         9         9         9         9         9         1         1         1         1         1  
 1.832582   1.210757   1.398105   1.676135   1.742621         0         0         0         1         1         1        12        12        12        12        12         1         1         1         1         1  
 1.238374  -.0420062   1.462357   1.981166   1.977389         1         1         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
 1.272566   1.266327   1.370261  -.3019539   1.579197         1         1         1         1         1         0        12        12        12        12        12         1         1         1         1         0  
 2.302585   2.351333    2.39988  -1.137275   2.239192         1         1         1         1         1         1        14        14        14        14        14         1         1         1         1         1  
 1.578979   1.749753   1.755923   1.763841   1.693754         0         1         1         1         1         0        12        12        12        12        12         1         1         1         1         1  
 2.057962   1.997915   1.969743   2.019725   1.816729         0         1         1         1         1         1        12        12        12        12        12         1         1         1         1         1  
 2.088153   2.093343   2.234886   2.444699   2.827291         0         0         0         0         1         1        16        16        16        16        16         1         1         1         1         1  
 1.585145   1.627586   1.757522   2.095941   2.105125         0         0         0         0         1         1        12        12        12        12        12         1         1         1         1         1  
 1.609438   2.037435    1.46664    1.44252   2.016751         0         0         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
 1.791759   1.636958   1.268814   2.162668   1.892367         0         0         0         0         0         1        12        12        12        12        12         1         1         1         1         1  
 1.446919   1.056606     1.7234     2.0373    2.27325         0         0         0         0         0         1        11        12        12        12        12         1         1         1         1         1  
 1.238374   1.166954   1.190289    1.16531   1.703401         0         0         0         0         0         0        12        12        13        14        14         1         1         1         1         1  
 1.355835   1.331709   1.370261    1.44252   1.480257         0         0         0         0         0         1        11        11        11        11        11         1         1         1         1         1  
 1.704748   1.749753   1.562338   1.716957   1.816729         0         0         0         0         0         0        12        12        12        12        12         1         1         1         1         1  
 2.224623   2.260579   2.427234   2.460037   2.508447         1         1         1         1         1         1        12        12        12        12        12         1         1         1         1         1  
 2.079442   2.209285   2.063408   1.963817   2.396548         0         0         0         0         0         1        12        12        12        12        12         1         1         1         1         1  
 1.504077   1.726143   1.176105   1.187288   1.480257         0         0         0         0         0         1        12        12        12        12        12         1         1         1         1         1  
