1,3,0,2,1,9,2,5,4,0,28,3,0,2,0,31,3,0,2,0,11.5790004730225
2,3,0,4,0,.,1,1,1,0,2.22199988365173,2,5,1,0,12,1,.,2,0,.
9,3,0,2,1,7,3,.,3,.,6,0,.,.,.,.,2,0,2,0,11
11,3,1,2,1,11,3,0,2,1,4,.,.,.,.,.,3,0,3,1,3
17,3,0,3,1,15,3,0,3,0,22,3,.,2,.,23,3,0,3,0,11
23,3,1,2,0,13,2,1,2,0,13,3,.,2,.,15,3,0,2,1,5
25,3,0,3,0,21,1,6,3,.,18,2,1,3,0,11,2,2,3,0,3
30,3,0,2,1,15,0,.,.,.,.,.,.,.,.,.,3,2,3,1,11
31,2,0,3,0,32,1,5,4,0,31,0,.,.,.,.,0,6,4,0,14
34,3,0,3,1,14,0,0,4,0,22,2,0,3,0,6,1,2,4,0,10
38,3,0,4,1,26.3159999847412,1,6,3,0,15.7889995574951,2,2,3,0,17,2,2,3,0,10
43,3,0,3,1,25,3,6,4,0,11,3,0,3,0,11,3,6,3,0,4
45,3,0,3,1,23,3,2,2,0,7.77799987792969,3,0,2,0,14,3,0,2,0,8
50,3,0,4,1,19,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.
51,3,0,2,1,34,2,.,2,.,16,3,0,2,0,38,3,0,2,1,7.77799987792969
52,3,0,4,1,30,0,0,4,0,42,0,2,4,0,48,1,.,3,0,.
54,3,0,.,1,15,2,0,.,0,4,3,0,2,1,5,3,0,2,1,0
55,3,0,2,1,7,2,1,2,0,10,3,2,2,0,11,3,0,2,0,3.15799999237061
57,3,0,2,1,24,2,0,2,0,21,0,.,.,.,.,2,0,4,0,7
65,2,0,2,0,15,1,2,2,0,.,0,0,.,0,.,2,0,2,0,0
68,3,0,2,1,14,3,0,3,0,4,3,2,2,1,5,3,0,.,1,2
70,0,0,4,1,20,0,.,2,.,14,1,0,3,0,17,1,0,2,0,2
73,3,0,3,1,10,3,3,3,0,21,3,2,3,0,11,3,2,2,1,2
74,3,0,4,1,31,3,.,4,.,23,3,.,2,.,11,3,6,4,0,13
80,3,0,3,1,16,3,.,2,0,15,3,0,2,1,13,3,0,3,0,1
81,2,0,3,1,17,1,0,2,0,14,0,0,.,0,.,0,.,4,0,.
82,3,0,.,0,9,0,.,.,.,.,.,.,.,.,.,3,2,2,0,7
84,3,0,3,1,6,3,2,2,0,10,3,0,2,0,10,3,0,2,0,0
88,3,0,4,1,17,0,.,.,.,.,.,.,.,.,.,3,0,2,1,5
96,3,0,2,0,13,2,0,2,0,6,2,1,2,0,7,3,6,2,0,1
99,3,0,4,1,11,1,0,3,0,3,0,0,2,0,6,2,.,2,0,.
102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104,3,0,3,1,9,2,0,3,1,20,3,0,3,1,14,3,0,3,1,1.05299997329712
105,3,0,2,1,13,0,.,.,.,.,.,.,.,.,.,3,6,1,0,0
122,3,0,3,1,18,0,2,2,1,18,.,.,.,0,.,.,.,.,0,.
124,3,0,1,1,8,0,.,.,.,.,.,.,.,.,.,3,0,2,1,0
128,3,0,4,1,19,1,0,3,0,9,3,0,3,0,5,3,2,2,1,0
130,3,0,2,1,17,2,1,2,0,12,3,0,2,1,11,3,0,3,0,9.47399997711182
132,3,1,3,1,8,0,.,.,.,.,.,.,.,.,.,3,2,2,0,1
135,3,0,1,1,4,2,.,1,.,4,3,0,2,1,4,3,0,2,1,0
142,3,0,1,1,4,3,0,1,0,5,3,0,1,0,5,3,2,2,1,1
143,3,0,1,1,20,0,.,.,.,.,.,.,.,.,.,3,0,1,1,0
150,3,0,3,1,23,3,1,2,0,35,0,0,.,0,.,3,2,2,0,6
151,3,0,2,1,5,3,0,1,0,4,3,0,1,1,4,3,0,1,1,0
153,3,0,2,1,18,0,.,.,.,.,.,.,.,.,.,3,2,2,0,11
155,3,0,4,1,27,2,0,2,0,10,3,0,2,0,9,3,6,3,1,4
157,2,0,4,1,21,3,6,3,0,9.47399997711182,3,2,3,0,19,3,.,4,0,.
158,3,0,2,1,24,3,3,2,1,8,3,0,2,0,4,3,2,2,1,9
162,3,0,4,1,9,3,.,2,.,6,2,0,2,1,8,2,0,2,1,0
164,3,0,2,1,4,3,0,2,0,7,3,.,2,.,14.7370004653931,3,0,2,1,0
165,3,0,4,0,17.8950004577637,3,0,3,0,8,3,0,3,0,5,3,0,3,1,0
178,3,0,2,1,10,0,.,.,.,.,2,6,3,0,6,2,2,3,0,2.10500001907349
183,3,0,3,1,12,1,2,2,0,14,2,0,2,0,8,2,2,1,0,0
185,3,0,2,1,6,3,1,2,0,12,3,0,1,1,4,3,0,2,1,2
196,3,0,1,1,7,2,0,1,0,9,2,0,2,0,6,1,.,2,0,.
200,3,0,4,0,31,0,.,.,0,.,.,.,.,0,.,.,.,.,0,.
202,3,0,4,1,.,0,.,2,0,22,2,0,2,0,22,2,.,2,0,.
204,3,0,2,1,4,3,.,2,1,6,3,0,4,1,6,3,2,2,1,1
215,3,0,1,1,15,3,0,1,1,8,3,0,2,1,19,3,0,1,1,0
240,3,0,2,1,20,2,0,4,0,11,3,0,3,0,15,3,2,3,1,1
